id,station_id,day,capacity
551,59,2011-09-01,15
552,3,2011-09-02,17
553,4,2011-09-02,15
554,5,2011-09-02,13
555,6,2011-09-02,15
556,8,2011-09-02,15
557,9,2011-09-02,19
558,10,2011-09-02,19
559,11,2011-09-02,15
560,12,2011-09-02,15
561,13,2011-09-02,15
562,14,2011-09-02,17
563,15,2011-09-02,15
564,16,2011-09-02,19
565,17,2011-09-02,15
566,18,2011-09-02,15
567,20,2011-09-02,19
568,21,2011-09-02,25
569,22,2011-09-02,46
570,23,2011-09-02,19
571,24,2011-09-02,15
572,25,2011-09-02,15
573,26,2011-09-02,15
574,27,2011-09-02,15
575,29,2011-09-02,15
576,30,2011-09-02,15
577,31,2011-09-02,11
578,32,2011-09-02,11
579,33,2011-09-02,19
580,34,2011-09-02,14
581,35,2011-09-02,11
582,36,2011-09-02,16
583,37,2011-09-02,15
584,38,2011-09-02,35
585,39,2011-09-02,19
586,40,2011-09-02,15
587,41,2011-09-02,19
588,42,2011-09-02,19
589,43,2011-09-02,15
590,44,2011-09-02,19
591,45,2011-09-02,18
592,46,2011-09-02,19
593,47,2011-09-02,11
594,48,2011-09-02,15
595,49,2011-09-02,15
596,50,2011-09-02,15
597,51,2011-09-02,15
598,52,2011-09-02,15
599,53,2011-09-02,15
600,54,2011-09-02,11
601,55,2011-09-02,15
602,56,2011-09-02,15
603,57,2011-09-02,11
604,59,2011-09-02,15
605,3,2011-09-03,17
606,4,2011-09-03,15
607,5,2011-09-03,12
608,6,2011-09-03,15
609,8,2011-09-03,15
610,9,2011-09-03,19
611,10,2011-09-03,19
612,11,2011-09-03,15
613,12,2011-09-03,15
614,13,2011-09-03,15
615,14,2011-09-03,17
616,15,2011-09-03,15
617,16,2011-09-03,19
618,17,2011-09-03,15
619,18,2011-09-03,15
620,20,2011-09-03,19
621,21,2011-09-03,25
622,22,2011-09-03,46
623,23,2011-09-03,19
624,24,2011-09-03,15
625,25,2011-09-03,15
626,26,2011-09-03,15
627,27,2011-09-03,15
628,29,2011-09-03,15
629,30,2011-09-03,15
630,31,2011-09-03,11
631,32,2011-09-03,11
632,33,2011-09-03,19
633,34,2011-09-03,14
634,35,2011-09-03,11
635,36,2011-09-03,14
636,37,2011-09-03,15
637,38,2011-09-03,35
638,39,2011-09-03,19
639,40,2011-09-03,15
640,41,2011-09-03,19
641,42,2011-09-03,19
642,43,2011-09-03,15
643,44,2011-09-03,17
644,45,2011-09-03,19
645,46,2011-09-03,19
646,47,2011-09-03,11
647,48,2011-09-03,15
648,49,2011-09-03,15
649,50,2011-09-03,15
650,51,2011-09-03,15
651,52,2011-09-03,15
652,53,2011-09-03,15
653,54,2011-09-03,11
654,55,2011-09-03,15
655,56,2011-09-03,15
656,57,2011-09-03,11
657,59,2011-09-03,15
658,3,2011-09-04,17
659,4,2011-09-04,15
660,5,2011-09-04,13
661,6,2011-09-04,15
662,8,2011-09-04,15
663,9,2011-09-04,19
664,10,2011-09-04,19
665,11,2011-09-04,15
666,12,2011-09-04,15
667,13,2011-09-04,15
668,14,2011-09-04,17
669,15,2011-09-04,15
670,16,2011-09-04,19
671,17,2011-09-04,15
672,18,2011-09-04,15
673,20,2011-09-04,18
674,21,2011-09-04,24
675,22,2011-09-04,45
676,23,2011-09-04,19
677,24,2011-09-04,15
678,25,2011-09-04,14
679,26,2011-09-04,15
680,27,2011-09-04,15
681,29,2011-09-04,15
682,30,2011-09-04,15
683,31,2011-09-04,11
684,32,2011-09-04,11
685,33,2011-09-04,19
686,34,2011-09-04,15
687,35,2011-09-04,11
688,36,2011-09-04,17
689,37,2011-09-04,15
690,38,2011-09-04,35
691,39,2011-09-04,19
692,40,2011-09-04,14
693,41,2011-09-04,19
694,42,2011-09-04,19
695,43,2011-09-04,15
696,44,2011-09-04,17
697,45,2011-09-04,19
698,46,2011-09-04,19
699,47,2011-09-04,11
700,48,2011-09-04,15
701,49,2011-09-04,14
702,50,2011-09-04,15
703,51,2011-09-04,15
704,52,2011-09-04,15
705,53,2011-09-04,15
706,54,2011-09-04,11
707,55,2011-09-04,15
708,56,2011-09-04,15
709,57,2011-09-04,11
710,59,2011-09-04,15
711,3,2011-09-05,17
712,4,2011-09-05,15
713,5,2011-09-05,15
714,6,2011-09-05,15
715,8,2011-09-05,15
716,9,2011-09-05,19
717,10,2011-09-05,19
718,11,2011-09-05,15
719,12,2011-09-05,15
720,13,2011-09-05,15
721,14,2011-09-05,17
722,15,2011-09-05,15
723,16,2011-09-05,19
724,17,2011-09-05,15
725,18,2011-09-05,15
726,20,2011-09-05,18
727,21,2011-09-05,22
728,22,2011-09-05,45
729,23,2011-09-05,19
730,24,2011-09-05,15
731,25,2011-09-05,15
732,26,2011-09-05,15
733,27,2011-09-05,15
734,29,2011-09-05,15
735,30,2011-09-05,15
736,31,2011-09-05,11
737,32,2011-09-05,11
738,33,2011-09-05,19
739,34,2011-09-05,15
740,35,2011-09-05,11
741,36,2011-09-05,17
742,37,2011-09-05,15
743,38,2011-09-05,35
744,39,2011-09-05,18
745,40,2011-09-05,14
746,41,2011-09-05,19
747,42,2011-09-05,19
748,43,2011-09-05,15
749,44,2011-09-05,17
750,45,2011-09-05,19
751,46,2011-09-05,19
752,47,2011-09-05,11
753,48,2011-09-05,15
754,49,2011-09-05,15
755,50,2011-09-05,15
