id,status,duration,start_date,start_station,end_date,end_station
519382,Closed,359,2012-08-30 06:10:00-04,58,2012-08-30 06:16:00-04,48,T01331,Registered,02116,1986,Male
519383,Closed,310,2012-08-30 06:11:00-04,16,2012-08-30 06:16:00-04,21
519384,Closed,1040,2012-08-30 06:12:00-04,49,2012-08-30 06:30:00-04,80,T01255,Casual,,,
519385,Closed,269,2012-08-30 06:13:00-04,45,2012-08-30 06:18:00-04,11,T01242,Registered,02215,1982,Male
519386,Closed,386,2012-08-30 06:13:00-04,12,2012-08-30 06:20:00-04,11,T01192,Registered,02067,1956,Male
519387,Closed,425,2012-08-30 06:16:00-04,60,2012-08-30 06:23:00-04,48
519389,Closed,202,2012-08-30 06:17:00-04,38,2012-08-30 06:21:00-04,44
519390,Closed,797,2012-08-30 06:18:00-04,38,2012-08-30 06:31:00-04,64
519391,Closed,616,2012-08-30 06:23:00-04,81,2012-08-30 06:33:00-04,53
519392,Closed,780,2012-08-30 06:24:00-04,85,2012-08-30 06:37:00-04,54,T01367,Registered,02215,1988,Male
519393,Closed,526,2012-08-30 06:24:00-04,45,2012-08-30 06:33:00-04,69,T01149,Registered,02115,1981,Male
519394,Closed,167,2012-08-30 06:26:00-04,47,2012-08-30 06:29:00-04,48
519395,Closed,906,2012-08-30 06:28:00-04,61,2012-08-30 06:43:00-04,43
519396,Closed,452,2012-08-30 06:29:00-04,14,2012-08-30 06:36:00-04,52,T01398,Registered,02116,1981,Male
519397,Closed,609,2012-08-30 06:29:00-04,36,2012-08-30 06:40:00-04,48,T01364,Registered,02119,1983,Female
519398,Closed,350,2012-08-30 06:30:00-04,38,2012-08-30 06:36:00-04,64,T01228,Registered,01730,1958,Male
519399,Closed,586,2012-08-30 06:31:00-04,30,2012-08-30 06:40:00-04,9
519400,Closed,424,2012-08-30 06:31:00-04,64,2012-08-30 06:38:00-04,6
519401,Closed,815,2012-08-30 06:32:00-04,77,2012-08-30 06:46:00-04,80
519402,Closed,981,2012-08-30 06:32:00-04,62,2012-08-30 06:49:00-04,60
519403,Closed,421,2012-08-30 06:34:00-04,42,2012-08-30 06:41:00-04,48
519404,Closed,1352,2012-08-30 06:33:00-04,80,2012-08-30 06:56:00-04,18,T01442,Registered,02141,1976,Male
519405,Closed,988,2012-08-30 06:34:00-04,80,2012-08-30 06:51:00-04,80
519406,Closed,624,2012-08-30 06:35:00-04,8,2012-08-30 06:45:00-04,33
519407,Closed,86,2012-08-30 06:36:00-04,3,2012-08-30 06:37:00-04,14
519408,Closed,157,2012-08-30 06:37:00-04,16,2012-08-30 06:39:00-04,50,T01067,Registered,02132,1947,Male
519409,Closed,606,2012-08-30 06:39:00-04,47,2012-08-30 06:49:00-04,42,T01445,Registered,02113,1974,Female
519410,Closed,854,2012-08-30 06:39:00-04,66,2012-08-30 06:53:00-04,11
519411,Closed,374,2012-08-30 06:39:00-04,57,2012-08-30 06:45:00-04,49
519412,Closed,1215,2012-08-30 06:39:00-04,22,2012-08-30 07:00:00-04,81,T01136,Registered,03104,1959,Male
519413,Closed,325,2012-08-30 06:40:00-04,58,2012-08-30 06:46:00-04,61
519414,Closed,992,2012-08-30 06:41:00-04,23,2012-08-30 06:58:00-04,34
519415,Closed,857,2012-08-30 06:42:00-04,55,2012-08-30 06:57:00-04,39
519416,Closed,217,2012-08-30 06:43:00-04,81,2012-08-30 06:46:00-04,48
519417,Closed,1176,2012-08-30 06:43:00-04,6,2012-08-30 07:03:00-04,11,T01244,Registered,02114,1981,Female
519418,Closed,1282,2012-08-30 06:45:00-04,22,2012-08-30 07:06:00-04,91,T01132,Casual,,,
519419,Closed,1022,2012-08-30 06:44:00-04,84,2012-08-30 07:01:00-04,11
519420,Closed,718,2012-08-30 06:48:00-04,4,2012-08-30 07:00:00-04,40
519421,Closed,233,2012-08-30 06:48:00-04,22,2012-08-30 06:52:00-04,43,T01037,Registered,01760,1974,Female
519422,Closed,414,2012-08-30 06:49:00-04,22,2012-08-30 06:56:00-04,40
519423,Closed,502,2012-08-30 06:49:00-04,38,2012-08-30 06:57:00-04,7
519424,Closed,541,2012-08-30 06:50:00-04,53,2012-08-30 06:59:00-04,39
519425,Closed,1299,2012-08-30 06:50:00-04,38,2012-08-30 07:11:00-04,5
519426,Closed,563,2012-08-30 06:50:00-04,53,2012-08-30 06:59:00-04,60
519427,Closed,1863,2012-08-30 06:51:00-04,74,2012-08-30 07:22:00-04,40
519428,Closed,488,2012-08-30 06:50:00-04,38,2012-08-30 06:58:00-04,64
519429,Closed,1535,2012-08-30 06:51:00-04,60,2012-08-30 07:16:00-04,17,T01169,Registered,02114,1981,Female
519430,Closed,344,2012-08-30 06:52:00-04,68,2012-08-30 06:58:00-04,80,T01271,Registered,02142,1969,Female
519431,Closed,197,2012-08-30 06:52:00-04,25,2012-08-30 06:56:00-04,16,T01448,Registered,02118,1987,Male
519432,Closed,321,2012-08-30 06:54:00-04,69,2012-08-30 06:59:00-04,11
519433,Closed,1322,2012-08-30 06:53:00-04,46,2012-08-30 07:15:00-04,4,T01243,Registered,02066,1961,Female
519434,Closed,527,2012-08-30 06:54:00-04,41,2012-08-30 07:02:00-04,11,T01195,Registered,02215,1988,Male
519435,Closed,496,2012-08-30 06:55:00-04,53,2012-08-30 07:04:00-04,32
519436,Closed,190,2012-08-30 06:55:00-04,57,2012-08-30 06:59:00-04,12,T01078,Registered,02118,1981,Male
519437,Closed,281,2012-08-30 06:56:00-04,40,2012-08-30 07:01:00-04,48
519438,Closed,6,2012-08-30 06:57:00-04,53,2012-08-30 06:57:00-04,53
519439,Closed,783,2012-08-30 06:58:00-04,69,2012-08-30 07:11:00-04,61
519440,Closed,564,2012-08-30 06:58:00-04,18,2012-08-30 07:07:00-04,37
519441,Closed,411,2012-08-30 06:58:00-04,22,2012-08-30 07:05:00-04,42,T01425,Registered,02748,1971,Male
519442,Closed,514,2012-08-30 06:59:00-04,53,2012-08-30 07:07:00-04,36
519443,Closed,517,2012-08-30 06:59:00-04,38,2012-08-30 07:07:00-04,64,T01439,Registered,01938,1958,Male
519444,Closed,722,2012-08-30 06:59:00-04,38,2012-08-30 07:11:00-04,84,T01188,Registered,01915,1953,Male
519445,Closed,505,2012-08-30 07:00:00-04,53,2012-08-30 07:08:00-04,49
519446,Closed,1691,2012-08-30 07:00:00-04,60,2012-08-30 07:29:00-04,70
519447,Closed,309,2012-08-30 07:01:00-04,53,2012-08-30 07:06:00-04,36
519448,Closed,1120,2012-08-30 07:01:00-04,26,2012-08-30 07:20:00-04,14
519450,Closed,863,2012-08-30 07:01:00-04,13,2012-08-30 07:16:00-04,30,T01296,Registered,02351,1957,Male
519451,Closed,773,2012-08-30 07:02:00-04,90,2012-08-30 07:15:00-04,22
519452,Closed,597,2012-08-30 07:02:00-04,13,2012-08-30 07:12:00-04,81
519453,Closed,652,2012-08-30 07:03:00-04,36,2012-08-30 07:14:00-04,32
519454,Closed,237,2012-08-30 07:04:00-04,47,2012-08-30 07:08:00-04,48,T01182,Registered,02113,1972,Male
519455,Closed,326,2012-08-30 07:04:00-04,60,2012-08-30 07:09:00-04,72
519456,Closed,884,2012-08-30 07:04:00-04,54,2012-08-30 07:19:00-04,85,T01367,Registered,02215,1988,Male
519457,Closed,241,2012-08-30 07:05:00-04,84,2012-08-30 07:09:00-04,72
519458,Closed,1798,2012-08-30 07:06:00-04,17,2012-08-30 07:36:00-04,19,T01085,Casual,,,
519459,Closed,1767,2012-08-30 07:07:00-04,17,2012-08-30 07:36:00-04,19,T01334,Registered,02116,1984,Male
519460,Closed,282,2012-08-30 07:08:00-04,38,2012-08-30 07:13:00-04,43
519461,Closed,282,2012-08-30 07:08:00-04,48,2012-08-30 07:13:00-04,40,T01182,Registered,02109,1985,Female
519462,Closed,677,2012-08-30 07:08:00-04,43,2012-08-30 07:20:00-04,50,T01037,Registered,02025,1970,Male
519463,Closed,5302,2012-08-30 07:09:00-04,45,2012-08-30 08:37:00-04,34,T01232,Registered,02215,1970,Female
519464,Closed,748,2012-08-30 07:09:00-04,66,2012-08-30 07:22:00-04,14
519465,Closed,613,2012-08-30 07:09:00-04,43,2012-08-30 07:20:00-04,50
519466,Closed,1093,2012-08-30 07:09:00-04,60,2012-08-30 07:28:00-04,9
519467,Closed,246,2012-08-30 07:10:00-04,40,2012-08-30 07:14:00-04,43,T01217,Registered,02109,1974,Male
519468,Closed,1666,2012-08-30 07:10:00-04,51,2012-08-30 07:38:00-04,22
519469,Closed,419,2012-08-30 07:10:00-04,52,2012-08-30 07:17:00-04,67,T01180,Registered,02139,1992,Male
519470,Closed,564,2012-08-30 07:11:00-04,43,2012-08-30 07:21:00-04,72
519471,Closed,252,2012-08-30 07:11:00-04,13,2012-08-30 07:15:00-04,57
519472,Closed,300,2012-08-30 07:11:00-04,60,2012-08-30 07:16:00-04,42
519473,Closed,1513,2012-08-30 07:12:00-04,60,2012-08-30 07:37:00-04,69
519474,Closed,146,2012-08-30 07:13:00-04,39,2012-08-30 07:15:00-04,25
519475,Closed,532,2012-08-30 07:13:00-04,26,2012-08-30 07:22:00-04,35
519476,Closed,912,2012-08-30 07:13:00-04,57,2012-08-30 07:28:00-04,22
519477,Closed,640,2012-08-30 07:14:00-04,47,2012-08-30 07:25:00-04,42,T01134,Casual,,,
519478,Closed,528,2012-08-30 07:15:00-04,66,2012-08-30 07:24:00-04,62
519479,Closed,494,2012-08-30 07:16:00-04,26,2012-08-30 07:24:00-04,54
519480,Closed,236,2012-08-30 07:16:00-04,22,2012-08-30 07:20:00-04,20
519481,Closed,893,2012-08-30 07:16:00-04,38,2012-08-30 07:31:00-04,49
519482,Closed,904,2012-08-30 07:16:00-04,53,2012-08-30 07:31:00-04,48
519483,Closed,825,2012-08-30 07:17:00-04,76,2012-08-30 07:31:00-04,42
519484,Closed,1270,2012-08-30 07:17:00-04,37,2012-08-30 07:38:00-04,25
519485,Closed,1251,2012-08-30 07:18:00-04,38,2012-08-30 07:39:00-04,11,T01021,Registered,02113,1977,Female
519486,Closed,1687,2012-08-30 07:18:00-04,16,2012-08-30 07:46:00-04,70,T01325,Registered,02048,1967,Female
519487,Closed,952,2012-08-30 07:19:00-04,39,2012-08-30 07:35:00-04,72,T01072,Registered,02118,1973,Male
519488,Closed,736,2012-08-30 07:20:00-04,16,2012-08-30 07:32:00-04,80,T01420,Registered,02116,1960,Male
519489,Closed,226,2012-08-30 07:20:00-04,22,2012-08-30 07:24:00-04,43,T01261,Registered,02026,1963,Male
519490,Closed,508,2012-08-30 07:20:00-04,22,2012-08-30 07:29:00-04,54
519491,Closed,263,2012-08-30 07:20:00-04,26,2012-08-30 07:24:00-04,16
519492,Closed,277,2012-08-30 07:21:00-04,47,2012-08-30 07:26:00-04,54,T01256,Registered,02113,1990,Male
519494,Closed,91,2012-08-30 07:21:00-04,3,2012-08-30 07:23:00-04,14
519495,Closed,474,2012-08-30 07:21:00-04,25,2012-08-30 07:29:00-04,22
519496,Closed,242,2012-08-30 07:22:00-04,64,2012-08-30 07:26:00-04,43
519497,Closed,861,2012-08-30 07:22:00-04,45,2012-08-30 07:36:00-04,48
519498,Closed,512,2012-08-30 07:22:00-04,32,2012-08-30 07:30:00-04,46
519499,Closed,1249,2012-08-30 07:22:00-04,17,2012-08-30 07:43:00-04,60,T01169,Registered,02114,1981,Female
519500,Closed,112,2012-08-30 07:23:00-04,22,2012-08-30 07:25:00-04,22
519501,Closed,593,2012-08-30 07:23:00-04,32,2012-08-30 07:33:00-04,5
519502,Closed,480,2012-08-30 07:24:00-04,47,2012-08-30 07:32:00-04,59
519503,Closed,429,2012-08-30 07:24:00-04,6,2012-08-30 07:32:00-04,58,T01036,Casual,,,
