id,status,duration,start_date,start_station,end_date,end_station
552390,Closed,336,2012-09-10 06:44:00-04,58,2012-09-10 06:50:00-04,61
552391,Closed,941,2012-09-10 06:44:00-04,16,2012-09-10 07:00:00-04,80,T01208,Registered,02110,1964,Male
552392,Closed,1023,2012-09-10 06:45:00-04,22,2012-09-10 07:02:00-04,67
552393,Closed,515,2012-09-10 06:45:00-04,41,2012-09-10 06:54:00-04,11
552394,Closed,435,2012-09-10 06:45:00-04,22,2012-09-10 06:52:00-04,50
552395,Closed,385,2012-09-10 06:46:00-04,57,2012-09-10 06:52:00-04,33,T01446,Registered,02215,1985,Male
552396,Closed,474,2012-09-10 06:47:00-04,4,2012-09-10 06:55:00-04,22
552397,Closed,254,2012-09-10 06:48:00-04,22,2012-09-10 06:52:00-04,43,T01121,Registered,01760,1974,Female
552398,Closed,862,2012-09-10 06:49:00-04,40,2012-09-10 07:03:00-04,58,T01167,Casual,,,
552399,Closed,445,2012-09-10 06:48:00-04,40,2012-09-10 06:56:00-04,81
552400,Closed,633,2012-09-10 06:50:00-04,4,2012-09-10 07:00:00-04,20
552401,Closed,478,2012-09-10 06:50:00-04,38,2012-09-10 06:58:00-04,64,T01343,Registered,01720,1967,Male
552402,Closed,725,2012-09-10 06:52:00-04,55,2012-09-10 07:04:00-04,13,T01314,Registered,02135,1959,Male
552403,Closed,1168,2012-09-10 06:53:00-04,86,2012-09-10 07:12:00-04,36,T01011,Registered,02445,1956,Male
552404,Closed,959,2012-09-10 06:53:00-04,69,2012-09-10 07:09:00-04,39,T01015,Registered,02446,1985,Male
552405,Closed,469,2012-09-10 06:53:00-04,40,2012-09-10 07:01:00-04,64
552406,Closed,383,2012-09-10 06:54:00-04,47,2012-09-10 07:00:00-04,22
552407,Closed,995,2012-09-10 06:54:00-04,46,2012-09-10 07:11:00-04,84
552408,Closed,682,2012-09-10 06:54:00-04,38,2012-09-10 07:06:00-04,64
552409,Closed,1221,2012-09-10 06:55:00-04,6,2012-09-10 07:15:00-04,11,T01401,Registered,02114,1981,Female
552410,Closed,397,2012-09-10 06:55:00-04,38,2012-09-10 07:01:00-04,48
552411,Closed,521,2012-09-10 06:55:00-04,58,2012-09-10 07:03:00-04,48
552412,Closed,203,2012-09-10 06:55:00-04,47,2012-09-10 06:58:00-04,48
552413,Closed,325,2012-09-10 06:57:00-04,68,2012-09-10 07:02:00-04,80,T01080,Registered,02142,1969,Female
552414,Closed,428,2012-09-10 06:57:00-04,54,2012-09-10 07:04:00-04,6
552415,Closed,829,2012-09-10 06:58:00-04,13,2012-09-10 07:11:00-04,30,T01206,Registered,02351,1957,Male
552416,Closed,830,2012-09-10 06:59:00-04,78,2012-09-10 07:14:00-04,74,T01218,Casual,,,
552417,Closed,628,2012-09-10 07:00:00-04,27,2012-09-10 07:11:00-04,45,T01295,Casual,,,
552418,Closed,451,2012-09-10 07:00:00-04,42,2012-09-10 07:08:00-04,64
552419,Closed,406,2012-09-10 07:03:00-04,60,2012-09-10 07:09:00-04,49
552420,Closed,1076,2012-09-10 07:03:00-04,38,2012-09-10 07:21:00-04,91,T01369,Registered,01915,1953,Male
552421,Closed,672,2012-09-10 07:03:00-04,38,2012-09-10 07:15:00-04,7,T01160,Registered,01969,1952,Male
552422,Closed,1334,2012-09-10 07:04:00-04,38,2012-09-10 07:26:00-04,3,T01180,Registered,01460,1966,Male
552423,Closed,1607,2012-09-10 07:04:00-04,38,2012-09-10 07:30:00-04,12
552424,Closed,599,2012-09-10 07:04:00-04,16,2012-09-10 07:14:00-04,67
552425,Closed,262,2012-09-10 07:05:00-04,40,2012-09-10 07:09:00-04,43
552426,Closed,97,2012-09-10 07:05:00-04,35,2012-09-10 07:07:00-04,48
552427,Closed,523,2012-09-10 07:06:00-04,58,2012-09-10 07:15:00-04,46
552428,Closed,461,2012-09-10 07:06:00-04,25,2012-09-10 07:14:00-04,22
552429,Closed,400,2012-09-10 07:07:00-04,58,2012-09-10 07:14:00-04,61,T01167,Registered,02108,1983,Male
552430,Closed,775,2012-09-10 07:07:00-04,26,2012-09-10 07:20:00-04,38
552431,Closed,484,2012-09-10 07:08:00-04,22,2012-09-10 07:16:00-04,42
552433,Closed,471,2012-09-10 07:08:00-04,42,2012-09-10 07:16:00-04,25,T01439,Registered,02118,1965,Female
552434,Closed,1654,2012-09-10 07:09:00-04,24,2012-09-10 07:36:00-04,45
552435,Closed,404,2012-09-10 07:09:00-04,42,2012-09-10 07:16:00-04,52
552438,Closed,268,2012-09-10 07:10:00-04,38,2012-09-10 07:14:00-04,43
552440,Closed,285,2012-09-10 07:10:00-04,40,2012-09-10 07:15:00-04,48
552441,Closed,1010,2012-09-10 07:11:00-04,60,2012-09-10 07:28:00-04,9,T01071,Registered,02114,1984,Male
552442,Closed,440,2012-09-10 07:11:00-04,38,2012-09-10 07:19:00-04,35
552443,Closed,86,2012-09-10 07:11:00-04,20,2012-09-10 07:13:00-04,43
552444,Closed,343,2012-09-10 07:12:00-04,64,2012-09-10 07:18:00-04,35,T01432,Registered,02210,1979,Male
552445,Closed,262,2012-09-10 07:12:00-04,6,2012-09-10 07:16:00-04,48
552446,Closed,396,2012-09-10 07:12:00-04,54,2012-09-10 07:19:00-04,64
552447,Closed,412,2012-09-10 07:12:00-04,38,2012-09-10 07:19:00-04,48
552448,Closed,1160,2012-09-10 07:12:00-04,76,2012-09-10 07:32:00-04,7,T01156,Registered,02139,1983,Male
552449,Closed,988,2012-09-10 07:13:00-04,38,2012-09-10 07:29:00-04,67,T01173,Registered,02113,1984,Male
552450,Closed,549,2012-09-10 07:13:00-04,4,2012-09-10 07:22:00-04,48
552451,Closed,270,2012-09-10 07:13:00-04,60,2012-09-10 07:18:00-04,42
552452,Closed,498,2012-09-10 07:14:00-04,38,2012-09-10 07:22:00-04,81
552453,Closed,1517,2012-09-10 07:14:00-04,7,2012-09-10 07:39:00-04,27
552454,Closed,460,2012-09-10 07:14:00-04,43,2012-09-10 07:22:00-04,42
552455,Closed,207,2012-09-10 07:14:00-04,22,2012-09-10 07:17:00-04,43
552456,Closed,601,2012-09-10 07:14:00-04,57,2012-09-10 07:24:00-04,22,T01007,Registered,02118,1989,Male
552457,Closed,322,2012-09-10 07:14:00-04,43,2012-09-10 07:20:00-04,23
552458,Closed,480,2012-09-10 07:15:00-04,50,2012-09-10 07:23:00-04,48,T01161,Registered,02116,1987,Male
552459,Closed,240,2012-09-10 07:15:00-04,22,2012-09-10 07:19:00-04,20
552460,Closed,421,2012-09-10 07:15:00-04,40,2012-09-10 07:22:00-04,22
552461,Closed,1131,2012-09-10 07:17:00-04,76,2012-09-10 07:36:00-04,26
552463,Closed,783,2012-09-10 07:18:00-04,54,2012-09-10 07:31:00-04,33
552464,Closed,618,2012-09-10 07:19:00-04,61,2012-09-10 07:29:00-04,48,T01147,Registered,02116,1976,Male
552465,Closed,627,2012-09-10 07:19:00-04,58,2012-09-10 07:30:00-04,64
552466,Closed,708,2012-09-10 07:21:00-04,61,2012-09-10 07:33:00-04,11
552467,Closed,203,2012-09-10 07:20:00-04,47,2012-09-10 07:23:00-04,23
552468,Closed,1248,2012-09-10 07:21:00-04,24,2012-09-10 07:42:00-04,42,T01254,Registered,02116,1991,Male
552469,Closed,670,2012-09-10 07:21:00-04,38,2012-09-10 07:32:00-04,61
552470,Closed,737,2012-09-10 07:21:00-04,38,2012-09-10 07:33:00-04,61
552472,Closed,721,2012-09-10 07:22:00-04,38,2012-09-10 07:34:00-04,22,T01443,Registered,01915,1975,Female
552473,Closed,469,2012-09-10 07:22:00-04,23,2012-09-10 07:30:00-04,72
552474,Closed,435,2012-09-10 07:22:00-04,38,2012-09-10 07:29:00-04,64
552475,Closed,512,2012-09-10 07:22:00-04,38,2012-09-10 07:31:00-04,24
552476,Closed,4,2012-09-10 07:22:00-04,25,2012-09-10 07:22:00-04,25
552477,Closed,279,2012-09-10 07:22:00-04,38,2012-09-10 07:27:00-04,43
552478,Closed,222,2012-09-10 07:23:00-04,68,2012-09-10 07:27:00-04,67
552479,Closed,645,2012-09-10 07:23:00-04,40,2012-09-10 07:34:00-04,31
552480,Closed,658,2012-09-10 07:23:00-04,38,2012-09-10 07:34:00-04,64,T01330,Registered,01890,1974,Female
552481,Closed,593,2012-09-10 07:23:00-04,38,2012-09-10 07:33:00-04,31
552482,Closed,423,2012-09-10 07:24:00-04,56,2012-09-10 07:31:00-04,25
552483,Closed,743,2012-09-10 07:24:00-04,22,2012-09-10 07:36:00-04,38
552484,Closed,530,2012-09-10 07:25:00-04,22,2012-09-10 07:33:00-04,50
552485,Closed,87,2012-09-10 07:25:00-04,3,2012-09-10 07:26:00-04,14
552486,Closed,745,2012-09-10 07:25:00-04,41,2012-09-10 07:37:00-04,33,T01312,Registered,02134,1984,Male
552487,Closed,848,2012-09-10 07:26:00-04,30,2012-09-10 07:40:00-04,10,T01206,Casual,,,
552488,Closed,949,2012-09-10 07:26:00-04,22,2012-09-10 07:41:00-04,20
552489,Closed,2912,2012-09-10 07:26:00-04,40,2012-09-10 08:14:00-04,38
552490,Closed,538,2012-09-10 07:26:00-04,22,2012-09-10 07:35:00-04,50
552491,Closed,536,2012-09-10 07:27:00-04,82,2012-09-10 07:36:00-04,11
552493,Closed,105,2012-09-10 07:27:00-04,54,2012-09-10 07:28:00-04,81
552494,Closed,215,2012-09-10 07:28:00-04,64,2012-09-10 07:32:00-04,43
552495,Closed,805,2012-09-10 07:29:00-04,75,2012-09-10 07:42:00-04,49
552496,Closed,672,2012-09-10 07:29:00-04,22,2012-09-10 07:40:00-04,39,T01007,Registered,02332,1950,Male
552497,Closed,497,2012-09-10 07:29:00-04,22,2012-09-10 07:37:00-04,38
552498,Closed,251,2012-09-10 07:29:00-04,20,2012-09-10 07:33:00-04,22
552499,Closed,817,2012-09-10 07:30:00-04,26,2012-09-10 07:44:00-04,24
552500,Closed,624,2012-09-10 07:30:00-04,25,2012-09-10 07:40:00-04,14
552501,Closed,1084,2012-09-10 07:30:00-04,38,2012-09-10 07:48:00-04,75,T01159,Registered,02176,1981,Male
552502,Closed,819,2012-09-10 07:30:00-04,38,2012-09-10 07:44:00-04,22
552503,Closed,919,2012-09-10 07:30:00-04,41,2012-09-10 07:45:00-04,74
552504,Closed,765,2012-09-10 07:30:00-04,38,2012-09-10 07:43:00-04,50
552505,Closed,209,2012-09-10 07:31:00-04,60,2012-09-10 07:35:00-04,72
552506,Closed,448,2012-09-10 07:31:00-04,32,2012-09-10 07:39:00-04,5
552507,Closed,1004,2012-09-10 07:32:00-04,75,2012-09-10 07:49:00-04,13
552508,Closed,1128,2012-09-10 07:32:00-04,17,2012-09-10 07:51:00-04,10
552509,Closed,579,2012-09-10 07:32:00-04,32,2012-09-10 07:42:00-04,12
552510,Closed,1378,2012-09-10 07:32:00-04,6,2012-09-10 07:55:00-04,11,T01102,Registered,02114,1978,Male
552511,Closed,1120,2012-09-10 07:33:00-04,44,2012-09-10 07:51:00-04,11,T01021,Registered,01867,1965,Female
552512,Closed,482,2012-09-10 07:33:00-04,6,2012-09-10 07:41:00-04,22,T01342,Registered,02114,1980,Male
552513,Closed,447,2012-09-10 07:33:00-04,6,2012-09-10 07:41:00-04,64,T01232,Registered,02114,1987,Female
552514,Closed,712,2012-09-10 07:34:00-04,85,2012-09-10 07:45:00-04,49
552515,Closed,504,2012-09-10 07:34:00-04,21,2012-09-10 07:42:00-04,54
552516,Closed,793,2012-09-10 07:34:00-04,75,2012-09-10 07:47:00-04,53
552517,Closed,1259,2012-09-10 07:34:00-04,52,2012-09-10 07:55:00-04,38
552518,Closed,1309,2012-09-10 07:35:00-04,51,2012-09-10 07:56:00-04,22
552519,Closed,200,2012-09-10 07:35:00-04,40,2012-09-10 07:38:00-04,20
552520,Closed,1029,2012-09-10 07:35:00-04,45,2012-09-10 07:52:00-04,44
552521,Closed,412,2012-09-10 07:36:00-04,61,2012-09-10 07:42:00-04,39,T01167,Registered,02116,1987,Male
552522,Closed,1048,2012-09-10 07:36:00-04,26,2012-09-10 07:54:00-04,90,T01335,Registered,02118,1981,Male
552523,Closed,1212,2012-09-10 07:38:00-04,82,2012-09-10 07:58:00-04,42
552525,Closed,690,2012-09-10 07:38:00-04,38,2012-09-10 07:50:00-04,50
552526,Closed,2056,2012-09-10 07:39:00-04,89,2012-09-10 08:13:00-04,89
552527,Closed,454,2012-09-10 07:38:00-04,38,2012-09-10 07:46:00-04,43
552528,Closed,190,2012-09-10 07:38:00-04,64,2012-09-10 07:41:00-04,22
552529,Closed,702,2012-09-10 07:39:00-04,16,2012-09-10 07:51:00-04,10
552530,Closed,445,2012-09-10 07:40:00-04,26,2012-09-10 07:47:00-04,35
552531,Closed,198,2012-09-10 07:40:00-04,55,2012-09-10 07:43:00-04,5
552532,Closed,714,2012-09-10 07:40:00-04,45,2012-09-10 07:52:00-04,35
552533,Closed,1206,2012-09-10 07:41:00-04,38,2012-09-10 08:01:00-04,5
552534,Closed,475,2012-09-10 07:41:00-04,40,2012-09-10 07:49:00-04,64
