id,status,duration,start_date,start_station,end_date,end_station
482575,Closed,666,2012-08-19 01:37:00-04,36,2012-08-19 01:48:00-04,13,T01152,Registered,02118,1988,Female
482577,Closed,872,2012-08-19 01:40:00-04,19,2012-08-19 01:54:00-04,44
482578,Closed,588,2012-08-19 01:43:00-04,45,2012-08-19 01:52:00-04,61
482579,Closed,232,2012-08-19 01:43:00-04,8,2012-08-19 01:47:00-04,37,T01218,Registered,02135,1984,Male
482580,Closed,497,2012-08-19 01:44:00-04,45,2012-08-19 01:52:00-04,61
482582,Closed,735,2012-08-19 01:47:00-04,20,2012-08-19 01:59:00-04,46,T01270,Casual,,,
482585,Closed,1699,2012-08-19 01:50:00-04,26,2012-08-19 02:18:00-04,42,T01406,Casual,,,
482587,Closed,914,2012-08-19 01:51:00-04,25,2012-08-19 02:06:00-04,33
482589,Closed,615,2012-08-19 01:53:00-04,52,2012-08-19 02:03:00-04,68
482590,Closed,370,2012-08-19 01:54:00-04,50,2012-08-19 02:00:00-04,60
482591,Closed,1493,2012-08-19 01:56:00-04,45,2012-08-19 02:21:00-04,45
482593,Closed,566,2012-08-19 01:57:00-04,75,2012-08-19 02:07:00-04,53,T01334,Casual,,,
482594,Closed,1073,2012-08-19 01:57:00-04,52,2012-08-19 02:15:00-04,66
482596,Closed,849,2012-08-19 02:03:00-04,60,2012-08-19 02:17:00-04,33
482597,Closed,355,2012-08-19 02:04:00-04,43,2012-08-19 02:10:00-04,47
482598,Closed,319,2012-08-19 02:05:00-04,43,2012-08-19 02:10:00-04,47,T01234,Registered,02113,1986,Female
482599,Closed,291,2012-08-19 02:06:00-04,81,2012-08-19 02:11:00-04,50,T01306,Registered,02116,1985,Male
482600,Closed,494,2012-08-19 02:07:00-04,22,2012-08-19 02:15:00-04,47
482601,Closed,482,2012-08-19 02:07:00-04,22,2012-08-19 02:15:00-04,47
482602,Closed,412,2012-08-19 02:08:00-04,22,2012-08-19 02:15:00-04,47
482605,Closed,697,2012-08-19 02:10:00-04,75,2012-08-19 02:21:00-04,36,T01165,Casual,,,
482606,Closed,97,2012-08-19 02:10:00-04,35,2012-08-19 02:12:00-04,35,T01368,Registered,02445,1988,Female
482608,Closed,597,2012-08-19 02:15:00-04,54,2012-08-19 02:25:00-04,46
482609,Closed,2683,2012-08-19 02:17:00-04,35,2012-08-19 03:01:00-04,11
482610,Closed,2710,2012-08-19 02:16:00-04,35,2012-08-19 03:02:00-04,11
482611,Closed,129,2012-08-19 02:17:00-04,55,2012-08-19 02:19:00-04,55,T01208,Registered,02127,1988,Male
482612,Closed,2643,2012-08-19 02:17:00-04,35,2012-08-19 03:01:00-04,11,T01368,Registered,02445,1988,Female
482613,Closed,1037,2012-08-19 02:18:00-04,68,2012-08-19 02:35:00-04,52
482616,Closed,569,2012-08-19 02:19:00-04,57,2012-08-19 02:28:00-04,45
482617,Closed,638,2012-08-19 02:20:00-04,36,2012-08-19 02:30:00-04,19
482618,Closed,1194,2012-08-19 02:21:00-04,57,2012-08-19 02:41:00-04,8,T01169,Casual,,,
482621,Closed,804,2012-08-19 02:23:00-04,41,2012-08-19 02:36:00-04,55,T01351,Registered,02134,1989,Male
482622,Closed,216,2012-08-19 02:24:00-04,45,2012-08-19 02:27:00-04,55
482623,Closed,2406,2012-08-19 02:25:00-04,49,2012-08-19 03:05:00-04,38,T01324,Casual,,,
482624,Closed,717,2012-08-19 02:26:00-04,41,2012-08-19 02:38:00-04,33
