id,status,duration,start_date,start_station,end_date,end_station
615890,Closed,466,2012-09-28 06:32:00-04,47,2012-09-28 06:40:00-04,22
615891,Closed,574,2012-09-28 06:32:00-04,39,2012-09-28 06:42:00-04,35,T01047,Registered,02118,1966,Male
615892,Closed,921,2012-09-28 06:34:00-04,88,2012-09-28 06:49:00-04,46,T01269,Registered,02139,1961,Female
615893,Closed,439,2012-09-28 06:34:00-04,38,2012-09-28 06:41:00-04,22
615895,Closed,347,2012-09-28 06:34:00-04,38,2012-09-28 06:39:00-04,64,T01054,Registered,01982,1976,Male
615896,Closed,165,2012-09-28 06:34:00-04,38,2012-09-28 06:37:00-04,44
615897,Closed,362,2012-09-28 06:34:00-04,39,2012-09-28 06:40:00-04,50
615898,Closed,758,2012-09-28 06:35:00-04,8,2012-09-28 06:47:00-04,11,T01188,Registered,02118,1981,Male
615899,Closed,1004,2012-09-28 06:37:00-04,38,2012-09-28 06:53:00-04,22
615900,Closed,834,2012-09-28 06:38:00-04,20,2012-09-28 06:52:00-04,84
615901,Closed,168,2012-09-28 06:41:00-04,3,2012-09-28 06:44:00-04,11
615902,Closed,426,2012-09-28 06:45:00-04,68,2012-09-28 06:52:00-04,53
615903,Closed,1141,2012-09-28 06:45:00-04,21,2012-09-28 07:04:00-04,74,T01111,Registered,02116,1983,Female
615904,Closed,1255,2012-09-28 06:46:00-04,56,2012-09-28 07:07:00-04,72,T01329,Registered,02119,1974,Male
615905,Closed,374,2012-09-28 06:46:00-04,26,2012-09-28 06:52:00-04,50
615906,Closed,670,2012-09-28 06:46:00-04,47,2012-09-28 06:57:00-04,50
615907,Closed,271,2012-09-28 06:50:00-04,39,2012-09-28 06:54:00-04,16,T01085,Registered,02118,1988,Male
615908,Closed,201,2012-09-28 06:51:00-04,38,2012-09-28 06:54:00-04,44,T01386,Registered,01178,1963,Male
615909,Closed,540,2012-09-28 06:52:00-04,25,2012-09-28 07:01:00-04,54,T01315,Casual,,,
615910,Closed,630,2012-09-28 06:51:00-04,94,2012-09-28 07:01:00-04,22,T01059,Registered,02129,1985,Male
615911,Closed,825,2012-09-28 06:58:00-04,76,2012-09-28 07:12:00-04,36,T01377,Registered,02139,1987,Female
615912,Closed,114,2012-09-28 07:00:00-04,25,2012-09-28 07:02:00-04,39
615913,Closed,1261,2012-09-28 07:03:00-04,6,2012-09-28 07:24:00-04,11,T01310,Registered,02114,1981,Female
615914,Closed,751,2012-09-28 07:04:00-04,52,2012-09-28 07:17:00-04,96,T01014,Registered,02138,1985,Male
615915,Closed,399,2012-09-28 07:07:00-04,16,2012-09-28 07:14:00-04,59,T01056,Registered,02111,1958,Male
615916,Closed,323,2012-09-28 07:08:00-04,98,2012-09-28 07:14:00-04,38
615917,Closed,384,2012-09-28 07:11:00-04,26,2012-09-28 07:17:00-04,57
615918,Closed,378,2012-09-28 07:15:00-04,38,2012-09-28 07:21:00-04,35
615919,Closed,333,2012-09-28 07:18:00-04,20,2012-09-28 07:23:00-04,22
615920,Closed,465,2012-09-28 07:20:00-04,40,2012-09-28 07:27:00-04,35
615921,Closed,226,2012-09-28 07:20:00-04,22,2012-09-28 07:24:00-04,43
615922,Closed,1108,2012-09-28 07:20:00-04,74,2012-09-28 07:39:00-04,36,T01111,Registered,02118,1985,Male
615923,Closed,988,2012-09-28 07:21:00-04,60,2012-09-28 07:38:00-04,9
615924,Closed,440,2012-09-28 07:26:00-04,40,2012-09-28 07:33:00-04,22
615925,Closed,106,2012-09-28 07:26:00-04,16,2012-09-28 07:28:00-04,16
615926,Closed,215,2012-09-28 07:28:00-04,16,2012-09-28 07:31:00-04,25,T01180,Registered,02118,1984,Female
615927,Closed,507,2012-09-28 07:28:00-04,38,2012-09-28 07:36:00-04,64
615928,Closed,133,2012-09-28 07:31:00-04,53,2012-09-28 07:34:00-04,52
615929,Closed,3875,2012-09-28 07:33:00-04,8,2012-09-28 08:38:00-04,50,T01347,Casual,,,
615930,Closed,302,2012-09-28 07:33:00-04,25,2012-09-28 07:38:00-04,55
615931,Closed,294,2012-09-28 07:34:00-04,34,2012-09-28 07:38:00-04,11,T01080,Registered,01721,1960,Male
615932,Closed,631,2012-09-28 07:39:00-04,53,2012-09-28 07:50:00-04,23
